,price_per_sqft
1099,12626.262626262627
1100,16528.86490775057
1101,961.3509701935852
1102,4879.338842975207
1103,17217.57156483621
1104,6887.020720749674
1105,5203.518803068239
1106,9378.077181575205
1107,25711.56763427866
1108,18725.512790965662
1109,6121.786827139105
1110,6559.097468188377
1111,4591.350660580576
1112,10101.0101010101
1113,9182.6942943329
1114,29843.893480257117
1115,4591.368227731864
1116,20661.06216224902
1117,10330.578512396694
1118,5650.914741823833
1119,4321.287743747637
1120,10284.664830119376
1121,7499.234771962045
1122,6504.438322620141
1123,9182.6942943329
1124,3240.9483014730113
1125,5417.789633656411
1126,2678.2981328435876
1127,8838.343258295416
1128,16069.715015082575
1129,9182.736455463728
1130,4058.15303680182
1131,6231.101724375414
1132,3603.778423069726
1133,4321.272182530537
1134,4759.490527579178
1135,5101.485552592915
1136,5509.641873278237
1137,7346.162181222474
1138,2069.343707643121
1139,6121.786827139105
1140,3856.749311294766
1141,3323.2760505487777
1142,3799.7289526680433
1143,2754.8209366391184
1144,4081.2162024283234
1145,11019.243271833711
1146,3979.1614376404186
1147,11646.345287261585
1148,10203.040506070809
1149,5575.196279704318
1150,4851.240184901554
1151,2658.0302463075063
1152,3099.173553719008
1153,5531.756708914537
1154,12855.78381713933
1155,10560.098438482833
1156,15977.902744158882
1157,3520.048974594429
1158,11019.243271833711
1159,3838.169564553472
1160,3979.1614376404186
1161,4407.713498622589
1162,4897.439455404732
1163,3166.440793890036
1164,9182.736455463728
1165,3591.4702581369247
1166,9550.045913682277
1167,7652.280379553107
1168,2586.679634553901
1169,9871.396366407867
1170,4304.383009739384
1171,6504.413435822483
1172,3673.086043202931
1173,9182.736455463728
1174,22956.841138659318
1175,7033.557886181404
1176,2326.2932353841443
1177,12626.190161902192
1178,8608.815426997246
1179,8800.122436486074
1180,7121.279131653711
1181,7958.371594735231
1182,14692.378328741965
1183,4643.329891262916
1184,6583.825965223538
1185,11478.354692638357
1186,9182.736455463728
1187,15610.594635097757
1188,11478.385435000198
1189,5041.484212952293
1190,7249.493743686899
1191,6766.194160774438
1192,11178.953756394629
1193,4349.717268377555
1194,10521.845263830486
1195,4040.40404040404
1196,23875.027088973042
1197,3673.086043202931
1198,13356.662971323243
1199,7534.5175083350605
1200,5336.364203391709
1201,10258.1411586405
1202,6887.052341597796
1203,2281.540711021325
1204,5509.641873278237
1205,2281.540711021325
1206,9947.96449341904
1207,4591.368227731864
1208,9947.96449341904
1209,13467.963998907871
1210,5509.641873278237
1211,6296.733569460842
1212,10605.386501670995
1213,23573.527476865052
1214,16481.75704948294
1215,5509.616576599739
1216,19805.830836598296
1217,5611.649375984589
1218,12855.78381713933
1219,16143.795302599892
1220,3305.785123966942
1221,10789.665795841156
1222,9803.515814959286
1223,20869.855580599382
1224,4775.005417794609
1225,15151.459498771354
1226,20202.0202020202
1227,12008.142933631701
1228,16172.536292267883
1229,3880.0194518308517
1230,18365.472910927456
1231,16695.884464479506
1232,22398.594146116615
1233,20201.945998361804
1234,3489.4270360806754
1235,5158.830059883699
1236,5876.92974497798
1237,13737.323278886028
1238,12243.59863851183
1239,6371.670802005952
1240,3669.4214876033056
1241,9349.664079926271
1242,10407.101316192226
1243,8080.778399344722
1244,4914.691305652413
1245,3856.749311294766
1246,11794.280784757746
1247,7675.101969211877
1248,3158.8613406795225
1249,8264.424864899609
1250,33831.00350489196
1251,15304.498298139788
1252,4315.886134067952
1253,10100.948264779523
1254,15610.594635097757
1255,4132.231404958678
1256,3789.689711866976
1257,7346.162181222474
1258,1377.4054089792141
1259,7346.162181222474
1260,3452.7089072543617
1261,25429.00856533772
1262,7346.1506170766515
1263,14024.496119889405
1264,4349.700450628966
1265,2816.0391796755434
1266,5298.8745912941895
1267,5509.621635916856
1268,6198.324340406462
1269,4407.713498622589
1270,12933.398172769506
1271,13957.708144322702
1272,2178.9476305500907
1273,1147.8378408160115
1274,5676.581762812379
1275,6366.697275788185
1276,14191.454407030946
1277,4591.351363264046
1278,13642.88693982175
1279,8539.913535671127
1280,6332.881587780072
1281,5509.621635916856
1282,15426.997245179064
1283,9917.355371900827
1284,3673.0741404449986
1285,14867.235586215098
1286,2479.3388429752067
1287,11570.205435425398
1288,10651.935162772588
1289,9182.736455463728
1290,3249.266795883885
1291,8034.857507541287
1292,10345.819737865088
1293,8080.778399344722
1294,8044.04758843861
1295,8080.778399344722
1296,5846.944971252521
1297,3410.7306834579563
1298,2754.8209366391184
1299,4775.022956841139
1300,7346.1506170766515
1301,2571.166207529844
1302,3979.1736174667353
1303,9182.702726528092
1304,2387.5114784205693
1305,6477.981541091774
1306,4132.231404958678
1307,8034.857507541287
1308,10651.974288337924
1309,6541.110881892695
1310,3443.510360374837
1311,16528.86490775057
1312,14867.235586215098
1313,7063.643427279791
1314,7451.095625892032
1315,4507.873752821594
1316,11202.897326364273
1317,7459.775903787824
1318,5913.8927968323715
1319,3158.8613406795225
1320,4460.162874653682
1321,5280.049219241417
1322,12855.783817139332
1323,3834.541550284967
1324,14948.583280052311
1325,5323.912621799977
1326,9641.873278236915
1327,7713.470290283598
1328,8448.086508405846
1329,7346.162181222474
1330,5876.951331496786
1331,6821.4255729997485
1332,6121.824303642486
1333,5325.967581386294
1334,4775.022956841139
1335,8264.432453875284
1336,6121.824303642486
1337,4995.408631772269
1338,7713.498622589532
1339,5876.951331496786
1340,6821.4255729997485
1341,5289.256198347108
1342,5142.313526855732
1343,2938.475665748393
